Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"Population, total",SP.POP.TOTL,Iceland,ISL,360563
"Population, total",SP.POP.TOTL,India,IND,1383112050
"Population, total",SP.POP.TOTL,Indonesia,IDN,269582878
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,86564202
"Population, total",SP.POP.TOTL,Iraq,IRQ,41563520
"Population, total",SP.POP.TOTL,Ireland,IRL,4934340
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83933
"Population, total",SP.POP.TOTL,Israel,ISR,9054000
"Population, total",SP.POP.TOTL,Italy,ITA,59729081
"Population, total",SP.POP.TOTL,Jamaica,JAM,2813773
"Population, total",SP.POP.TOTL,Japan,JPN,126633000
"Population, total",SP.POP.TOTL,Jordan,JOR,10698683
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18513673
"Population, total",SP.POP.TOTL,Kenya,KEN,50951450
"Population, total",SP.POP.TOTL,Kiribati,KIR,124241
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25755441
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51764822
"Population, total",SP.POP.TOTL,Kosovo,XKX,1788878
"Population, total",SP.POP.TOTL,Kuwait,KWT,4441100
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6456200
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7212053
"Population, total",SP.POP.TOTL,Latvia,LVA,1913822
"Population, total",SP.POP.TOTL,Lebanon,LBN,5781907
"Population, total",SP.POP.TOTL,Lesotho,LSO,2225702
"Population, total",SP.POP.TOTL,Liberia,LBR,4985289
"Population, total",SP.POP.TOTL,Libya,LBY,6569088
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,38482
"Population, total",SP.POP.TOTL,Lithuania,LTU,2794137
"Population, total",SP.POP.TOTL,Luxembourg,LUX,620001
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,663653
"Population, total",SP.POP.TOTL,Madagascar,MDG,27533134
"Population, total",SP.POP.TOTL,Malawi,MWI,18867337
"Population, total",SP.POP.TOTL,Malaysia,MYS,32804020
"Population, total",SP.POP.TOTL,Maldives,MDV,504508
"Population, total",SP.POP.TOTL,Mali,MLI,20567424
"Population, total",SP.POP.TOTL,Malta,MLT,504062
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,44728
"Population, total",SP.POP.TOTL,Mauritania,MRT,4383849
"Population, total",SP.POP.TOTL,Mauritius,MUS,1265985
"Population, total",SP.POP.TOTL,Mexico,MEX,125085311
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,111379
"Population, total",SP.POP.TOTL,Moldova,MDA,2664224
"Population, total",SP.POP.TOTL,Monaco,MCO,37034
"Population, total",SP.POP.TOTL,Mongolia,MNG,3232430
"Population, total",SP.POP.TOTL,Montenegro,MNE,622028
"Population, total",SP.POP.TOTL,Morocco,MAR,36304408
"Population, total",SP.POP.TOTL,Mozambique,MOZ,30285595
"Population, total",SP.POP.TOTL,Myanmar,MMR,53040212
"Population, total",SP.POP.TOTL,Namibia,NAM,2446644
"Population, total",SP.POP.TOTL,Nauru,NRU,12132
"Population, total",SP.POP.TOTL,Nepal,NPL,28832496
"Population, total",SP.POP.TOTL,Netherlands,NLD,17344874
"Population, total",SP.POP.TOTL,New Caledonia,NCL,271240
"Population, total",SP.POP.TOTL,New Zealand,NZL,4979200
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6663924
"Population, total",SP.POP.TOTL,Niger,NER,23443393
"Population, total",SP.POP.TOTL,Nigeria,NGA,203304492
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2076694
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,49858
"Population, total",SP.POP.TOTL,Norway,NOR,5347896
"Population, total",SP.POP.TOTL,Oman,OMN,4602768
"Population, total",SP.POP.TOTL,Pakistan,PAK,223293280
"Population, total",SP.POP.TOTL,Palau,PLW,17916
"Population, total",SP.POP.TOTL,Panama,PAN,4232532
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,9542486
"Population, total",SP.POP.TOTL,Paraguay,PRY,6530026
"Population, total",SP.POP.TOTL,Peru,PER,32824861
"Population, total",SP.POP.TOTL,Philippines,PHL,110380804
"Population, total",SP.POP.TOTL,Poland,POL,37965475
"Population, total",SP.POP.TOTL,Portugal,PRT,10286263
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3193694
"Population, total",SP.POP.TOTL,Qatar,QAT,2807235
"Population, total",SP.POP.TOTL,Romania,ROU,19371648
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144406261
"Population, total",SP.POP.TOTL,Rwanda,RWA,12835028
"Population, total",SP.POP.TOTL,Samoa,WSM,211905
"Population, total",SP.POP.TOTL,San Marino,SMR,34178
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,214599
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,35827362
"Population, total",SP.POP.TOTL,Senegal,SEN,16000781
"Population, total",SP.POP.TOTL,Serbia,SRB,6945235
"Population, total",SP.POP.TOTL,Seychelles,SYC,97625
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,8046828
"Population, total",SP.POP.TOTL,Singapore,SGP,5703569
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,41608
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5454147
"Population, total",SP.POP.TOTL,Slovenia,SVN,2088385
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,674993
"Population, total",SP.POP.TOTL,Somalia,SOM,15981300
"Population, total",SP.POP.TOTL,South Africa,ZAF,58087055
"Population, total",SP.POP.TOTL,South Sudan,SSD,10447666
"Population, total",SP.POP.TOTL,Spain,ESP,47134837
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21803000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,47712
"Population, total",SP.POP.TOTL,St. Lucia,LCA,178583
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,33121
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,104924
"Population, total",SP.POP.TOTL,Sudan,SDN,43232093
"Population, total",SP.POP.TOTL,Suriname,SUR,600301
"Population, total",SP.POP.TOTL,Sweden,SWE,10278887
"Population, total",SP.POP.TOTL,Switzerland,CHE,8575280
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,20098251
"Population, total",SP.POP.TOTL,Tajikistan,TJK,9337003
"Population, total",SP.POP.TOTL,Tanzania,TZA,59872579
"Population, total",SP.POP.TOTL,Thailand,THA,71307763
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1280438
"Population, total",SP.POP.TOTL,Togo,TGO,8243094
"Population, total",SP.POP.TOTL,Tonga,TON,104951
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1519955
"Population, total",SP.POP.TOTL,Tunisia,TUN,12049314
"Population, total",SP.POP.TOTL,Turkiye,TUR,82579440
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,6158420
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,43080
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10956
"Population, total",SP.POP.TOTL,Uganda,UGA,42949080
"Population, total",SP.POP.TOTL,Ukraine,UKR,44386203
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9211657
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66836327
"Population, total",SP.POP.TOTL,United States,USA,328329953
"Population, total",SP.POP.TOTL,Uruguay,URY,3428409
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,33580350
"Population, total",SP.POP.TOTL,Vanuatu,VUT,304404
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28971683
"Population, total",SP.POP.TOTL,Viet Nam,VNM,95776716
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,106669
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4685306
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,31546691
"Population, total",SP.POP.TOTL,Zambia,ZMB,18380477
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,15354608
"Population, total",SP.POP.TOTL,Africa Eastern and Southern,AFE,667242986
"Population, total",SP.POP.TOTL,Africa Western and Central,AFW,454306063
"Population, total",SP.POP.TOTL,Arab World,ARB,441467739
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,7424102
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,102398537
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,3334561751
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2353856866
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,2106391925
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,2080648616
"Population, total",SP.POP.TOTL,Euro area,EMU,346517987
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,920277481
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,398690076
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,460092452
"Population, total",SP.POP.TOTL,European Union,EUU,447367191
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,957785553
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,815100831
"Population, total",SP.POP.TOTL,High income,HIC,1236709936
"Population, total",SP.POP.TOTL,IBRD only,IBD,4832928887
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,6553978299
"Population, total",SP.POP.TOTL,IDA blend,IDB,570633332
"Population, total",SP.POP.TOTL,IDA only,IDX,1150416080
"Population, total",SP.POP.TOTL,IDA total,IDA,1721049412
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2309491804
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,645295804
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,582701622
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,629515571
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,1047426093
"Population, total",SP.POP.TOTL,Low & middle income,LMY,6476092964
"Population, total",SP.POP.TOTL,Low income,LIC,648755452
"Population, total",SP.POP.TOTL,Lower middle income,LMC,3075311775
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,473201775
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,405259403
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,400574097
"Population, total",SP.POP.TOTL,Middle income,MIC,5827337512
"Population, total",SP.POP.TOTL,North America,NAC,365995094
"Population, total",SP.POP.TOTL,Not classified,INX,..
"Population, total",SP.POP.TOTL,OECD members,OED,1362014902
"Population, total",SP.POP.TOTL,Other small states,OSS,32005477
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2536070
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1113305347
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,957503246
"Population, total",SP.POP.TOTL,Small states,SST,41965649
"Population, total",SP.POP.TOTL,South Asia,SAS,1861598514
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1861598514
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,1121549049
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,1121451424
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,1121549049
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2752025737
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/28/2024,,,,
